OBJECTID,ID_SERV,INFO,NOM,AIRE_JEUX,ATHLETISME,BASEBALL_S,BASKETBALL,FOOTBALL,JEUX_EAU,RANDONNEE,ROULI_ROUL,SOCCER,SKI_FOND,TENNIS,TOBBOGAN_G,VOLLEY_BALL,PATIN_ROUE,RAQUETTES,PATAUGEOIRE,PISC_EXT,PATINOIRE_E,SUM_SERVICES,Shape_Length,Shape_Area,HECTARES,HaTypo,TypoParcCL6
233,7281.000000000000000,SAINT-LEONARD,PARC GIUSEPPE-GARIBALDI,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,8,1256.023896424083000,88260.034599941224000,8.826003459994123,c. 5 à 10 ha,E
234,6642.000000000000000,AHUNSTIC-CARTIERVILLE,PARC DE BEAUSEJOUR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1217.050745212764200,87163.480950027355000,8.716348095002736,c. 5 à 10 ha,E
235,7138.000000000000000,RIVIERE-DES-PRAIRIES-POINTES-AUX-TREMBLES-MONTREAL-EST,ERNEST-OUIMET / ANDRE-CIPRIANI,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2180.624134757566900,87018.447850073571000,8.701844785007356,c. 5 à 10 ha,E
236,7111.000000000000000,RIVIERE-DES-PRAIRIES-POINTES-AUX-TREMBLES-MONTREAL-EST,ALEXIS-CARREL,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,1165.967579128410800,86081.548899931935000,8.608154889993193,c. 5 à 10 ha,E
237,7280.000000000000000,SAINT-LEONARD,PARC FERLAND,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,7,1590.675061071152200,85798.502399985926000,8.579850239998592,c. 5 à 10 ha,E
238,7285.000000000000000,SAINT-LEONARD,PARC PIE-XII,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,7,1239.922322577624500,85471.512999972911000,8.547151299997291,c. 5 à 10 ha,E
239,6666.000000000000000,AHUNSTIC-CARTIERVILLE,PARC SAINTE-ODILE,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1647.363624883441800,83532.006149959547000,8.353200614995954,c. 5 à 10 ha,E
240,7604.000000000000000,COTE-SAINT-LUC-HAMPSTEAD-MONTREAL-OUEST,P.-E. TRUDEAU,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4,1295.178892905356400,81205.986650032675000,8.120598665003268,c. 5 à 10 ha,E
241,6768.000000000000000,DOLLARD-DES ORMEAUX-ROXBORO,JANISZEWSKI,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,6,1260.242834055209200,79265.527949962518000,7.926552794996252,c. 5 à 10 ha,E
242,6733.000000000000000,COTE-DES-NEIGES-NOTRE-DAME-DE-GRACE,PARC LOYOLA,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,5,1237.899205964055900,78871.998100013225000,7.887199810001323,c. 5 à 10 ha,E
243,7476.000000000000000,SAINT-LAURENT,PARC SAINT-LAURENT,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,9,1196.059498327733800,77779.997300014584000,7.777999730001459,c. 5 à 10 ha,E
244,7669.000000000000000,POINTE-CLAIRE,VALOIS,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,7,1415.812613770631700,77474.488400044705000,7.747448840004471,c. 5 à 10 ha,E
245,6916.000000000000000,LE SUD-OUEST,PARC DE LA VERENDRYE,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,5,1890.477797457266000,73317.003050004816000,7.331700305000481,c. 5 à 10 ha,E
246,6769.000000000000000,DOLLARD-DES ORMEAUX-ROXBORO,LAKE ROAD,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,6,1117.309288808675500,72951.496950030181000,7.295149695003018,c. 5 à 10 ha,E
247,6681.000000000000000,ANJOU,LUCIE-BRUNEAU,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,1,10,1078.513247403802800,71368.519949976107000,7.136851994997611,c. 5 à 10 ha,E
248,7122.000000000000000,RIVIERE-DES-PRAIRIES-POINTES-AUX-TREMBLES-MONTREAL-EST,"CAGEUX, DES",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1937.502806298145100,71075.003950023325000,7.107500395002332,c. 5 à 10 ha,E
249,7278.000000000000000,SAINT-LEONARD,PARC COUBERTIN,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,7,1158.105860458411100,70833.515949992900000,7.083351594999290,c. 5 à 10 ha,E
250,7282.000000000000000,SAINT-LEONARD,PARC HEBERT,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,7,1279.371915104736700,70745.028949970816000,7.074502894997082,c. 5 à 10 ha,E
251,7071.000000000000000,PIERREFONDS-SENNEVILLE,GRIER,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,7,1435.783429128452600,70610.021349958726000,7.061002134995873,c. 5 à 10 ha,E
896,6757.000000000000000,DOLLARD-DES ORMEAUX-ROXBORO,DAWN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,311.796123752697100,3920.613140548167800,0.392061314054817,a- Moins de 1 ha,A
897,6755.000000000000000,DOLLARD-DES ORMEAUX-ROXBORO,COLUMBIA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,166.817634723732770,1831.289487565221000,0.183128948756522,a- Moins de 1 ha,A
161,7211.000000000000000,RIVIERE-DES-PRAIRIES-POINTES-AUX-TREMBLES-MONTREAL-EST,SAINT-JOSEPH,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1138.302850163026100,43233.480500033125000,4.323348050003313,b. 1 à 5 ha,B
163,7410.000000000000000,GRANDS PARCS URBAINS,RENE LEVESQUE,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,3,6464.357799750375300,182668.517150010800000,18.266851715001081,d. 10 à 20 ha,F
164,6911.000000000000000,LE SUD-OUEST,PARC IGNACE-BOURGET,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,8,2452.253125575789500,180776.484550001250000,18.077648455000123,d. 10 à 20 ha,E
165,7415.000000000000000,PARCS NATURE,POINTE AUX PRAIRIES,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,4,27796.316489051915000,2395143.048749757500000,239.514304874975750,e. 20 ha et plus,F
166,7032.000000000000000,MERCIER-HOCHELAGA-MAISONNEUVE,PARC THOMAS-CHAPAIS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1851.870821276572800,167741.964750039890000,16.774196475003990,d. 10 à 20 ha,E
167,6832.000000000000000,LACHINE,PARC LASALLE,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,7,1649.736892757410700,163773.491550024370000,16.377349155002438,d. 10 à 20 ha,D
168,6651.000000000000000,AHUNSTIC-CARTIERVILLE,PARC DES HIRONDELLES,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,5,1666.239511274249300,156378.505500005650000,15.637850550000564,d. 10 à 20 ha,B
169,7013.000000000000000,MERCIER-HOCHELAGA-MAISONNEUVE,PARC FELIX-LECLERC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1714.425691492487700,152477.043599930940000,15.247704359993094,d. 10 à 20 ha,E
170,7261.000000000000000,ROSEMONT-LA PETITE-PATRIE,PARC PERE-MARQUETTE,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,7,2000.730646972137000,150011.484849995730000,15.001148484999574,d. 10 à 20 ha,E
171,6640.000000000000000,AHUNSTIC-CARTIERVILLE,PARC AHUNTSIC,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,5,1732.512013543718200,136502.017449985350000,13.650201744998535,d. 10 à 20 ha,E
172,7311.000000000000000,VERDUN,"FONTAINE, DE LA",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,5,5155.302834607429800,135948.937500091180000,13.594893750009119,d. 10 à 20 ha,E
173,6650.000000000000000,AHUNSTIC-CARTIERVILLE,PARC HENRI-JULIEN,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,6,1675.815983012527100,132747.512199989290000,13.274751219998929,d. 10 à 20 ha,E
174,7279.000000000000000,SAINT-LEONARD,PARC DELORME,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,7,1561.338196927562900,129206.508399990740000,12.920650839999073,d. 10 à 20 ha,E
175,7470.000000000000000,SAINT-LAURENT,PARC NOEL-NORD,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,9,3577.823295019313300,118063.573099915870000,11.806357309991586,d. 10 à 20 ha,E
176,6897.000000000000000,LE PLATEAU-MONT-ROYAL,PARC SIR-WILFIRD-LAURIER,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5,1364.253183674638600,115220.505549990570000,11.522050554999057,d. 10 à 20 ha,E
