"Mode","Motif","HeureDep","ArrondDep","LogDist","Duree","MemeArrond","Semaine","Jour"
"transport collectif","travail","11","Ville-Marie",0.607155604277677,49.5333333333333,"Meme","lundi au vendredi","lundi"
"pieton","travail","11","Le Plateau-Mont-Royal",-0.131096056553701,12.8,"Meme","lundi au vendredi","lundi"
"transport collectif","travail","11","Villeray-Saint-Michel-Parc-Extension",-0.554064596431196,42.5333333333333,"Meme","lundi au vendredi","lundi"
"pieton","travail","11","Rosemont-La Petite-Patrie",-1.1568355036234,5.4,"Meme","lundi au vendredi","lundi"
"velo","travail","11","Mercier-Hochelaga-Maisonneuve",1.15969419077513,42.6833333333333,"Meme","lundi au vendredi","lundi"
"velo","travail","11","Mercier-Hochelaga-Maisonneuve",1.76662505488734,29.5166666666667,"Different","lundi au vendredi","lundi"
"transport collectif","travail","11","Mercier-Hochelaga-Maisonneuve",-0.721579100559636,11.05,"Meme","lundi au vendredi","lundi"
"velo","travail","12","Rosemont-La Petite-Patrie",1.56358258980229,36.75,"Different","lundi au vendredi","lundi"
"velo","travail","12","Le Plateau-Mont-Royal",1.29391467610025,30.1333333333333,"Different","lundi au vendredi","lundi"
"velo","travail","12","Mercier-Hochelaga-Maisonneuve",1.90976871505145,23.5,"Different","lundi au vendredi","lundi"
"velo","travail","13","Rosemont-La Petite-Patrie",0.20746562907599,14.0666666666667,"Different","lundi au vendredi","lundi"
"vehicule individuel","loisir","13","Mercier-Hochelaga-Maisonneuve",0.811644231746994,13.6666666666667,"Meme","lundi au vendredi","lundi"
"pieton","travail","15","Ville-Marie",-1.3593560674221,2.31666666666667,"Meme","lundi au vendredi","lundi"
"vehicule individuel","travail","15","Cote-des-Neiges-Notre-Dame-de-Grace",-0.963672644004239,24.5666666666667,"Meme","lundi au vendredi","lundi"
"velo","travail","15","Villeray-Saint-Michel-Parc-Extension",0.675973119882238,20.2833333333333,"Different","lundi au vendredi","lundi"
"pieton","loisir","16","Ville-Marie",-1.10149578225478,27.8,"Meme","lundi au vendredi","lundi"
"pieton","travail","16","Ville-Marie",-1.16694509835081,11.8333333333333,"Meme","lundi au vendredi","lundi"
"vehicule individuel","travail","16","Mercier-Hochelaga-Maisonneuve",-0.868278662183893,23.3333333333333,"Meme","lundi au vendredi","lundi"
"pieton","magasinage","17","Ville-Marie",-0.969086389703523,18.7833333333333,"Meme","lundi au vendredi","lundi"
"pieton","magasinage","17","Ville-Marie",-1.37835459465612,3.61666666666667,"Meme","lundi au vendredi","lundi"
"pieton","travail","17","Ville-Marie",-1.3593560674221,5.08333333333333,"Meme","lundi au vendredi","lundi"
"velo","travail","18","Le Plateau-Mont-Royal",-0.424145074459959,14.1166666666667,"Meme","lundi au vendredi","lundi"
"velo","magasinage","20","Ville-Marie",1.74678290717729,29.05,"Different","lundi au vendredi","lundi"
"velo","loisir","20","Cote-des-Neiges-Notre-Dame-de-Grace",0.924954208954824,32.2,"Meme","lundi au vendredi","lundi"
"velo","magasinage","20","Rosemont-La Petite-Patrie",-0.989727609804949,1.83333333333333,"Meme","lundi au vendredi","lundi"
"vehicule individuel","magasinage","20","Mont-Royal",-0.89447873732552,3.1,"Meme","lundi au vendredi","lundi"
"vehicule individuel","magasinage","21","Mont-Royal",-0.136739200949383,15.4,"Meme","lundi au vendredi","lundi"
"pieton","loisir","21","Ville-Marie",1.09624605739263,33.6833333333333,"Different","lundi au vendredi","lundi"
"transport collectif","education","21","Cote-des-Neiges-Notre-Dame-de-Grace",-0.811084396261641,6.28333333333333,"Meme","lundi au vendredi","lundi"
"vehicule individuel","magasinage","21","Riviere-des-Prairies-Pointe-aux-Trembles",-0.124841709046981,9.3,"Meme","lundi au vendredi","lundi"
"vehicule individuel","loisir","7","Mont-Royal",2.40703425373288,42.6666666666667,"Different","lundi au vendredi","mardi"
"velo","travail","9","Le Plateau-Mont-Royal",0.415374148257446,5.25,"Different","lundi au vendredi","mardi"
"velo","magasinage","9","Ville-Marie",0.187569947075053,13.8666666666667,"Meme","lundi au vendredi","mardi"
"velo","travail","9","Rosemont-La Petite-Patrie",0.402965384371047,5.26666666666667,"Different","lundi au vendredi","mardi"
