Nbr_acci;Feux_auto;Feux_piet;Pass_piet;Terreplein;Apaisement;EmpTotBuffer;Densite_pop;Entropie;DensiteInter;Long_arterePS;Artere;NB_voies5;log_acci;catego_acci;catego_acci2;Arret;VAG;sum_app;LogEmploi;AccOrdinal;PopHa
19;1;1;1;1;0;7208.53828092387;5980.92276546973;0.807392560281687;42.4159660303962;6955;1;1;2.99573227355399;1;1;0;1;4;8.88302147476347;2;5.98092276546973
13;1;1;1;0;0;15198.9584387183;11696.8046128631;0.643201785740494;86.5044494026259;9581.51;1;0;2.63905732961526;1;1;0;1;4;9.62898218071797;2;11.6968046128631
12;1;1;1;0;0;38935.4884274642;9954.81108838737;0.893554211783827;128.663879620108;13841.4;1;0;2.56494935746154;1;1;0;1;4;10.5696614126214;2;9.95481108838737
12;1;1;1;0;0;56345.0850510916;6452.05957130914;0.903489009562285;134.498050439676;11533.3;1;0;2.56494935746154;1;1;0;1;4;10.9392502938554;2;6.45205957130914
12;1;0;1;0;0;8585.34984229425;8655.43011737708;0.760785155128496;89.1149470232742;6412.27;0;0;2.56494935746154;1;1;0;1;4;9.05781252291414;2;8.65543011737708
12;1;1;1;0;0;64323.504811033;12265.3821705572;0.989275744402962;74.2564963086643;12506.7;1;0;2.56494935746154;1;1;0;1;4;11.0716803925896;2;12.2653821705572
12;1;1;1;0;0;12325.9054361229;11856.4634618257;0.583582616025352;72.4786475844102;7809.14;1;1;2.56494935746154;1;1;0;1;4;9.4194584595897;2;11.8564634618257
11;1;0;1;0;0;13273.9194412016;7416.88681267022;0.818440404839955;105.73651520042;12075.4;1;1;2.484906649788;1;1;0;1;4;9.4935564447709;2;7.41688681267022
11;1;1;1;0;0;6258.39450401538;7606.403638509;0.89468889074647;56.4024843142753;7616.9;1;1;2.484906649788;1;1;0;1;4;8.74167896219322;2;7.606403638509
10;1;0;1;0;0;35322.7443135617;10903.1496997028;0.879090117612572;120.815579357147;13110.7;0;0;2.39789527279837;1;1;0;1;4;10.4722823502715;2;10.9031496997028
10;1;0;1;0;0;107577.772907585;8867.7160050504;0.981537518591526;85.1137502882602;13404.2;0;0;2.39789527279837;1;1;0;1;4;11.5859693338801;2;8.8677160050504
10;1;1;1;0;0;20744.4707321624;12269.9681280619;0.796653602978263;103.138115865443;8890.45;1;0;2.39789527279837;1;1;0;1;4;9.94003501941005;2;12.2699681280619
10;1;1;1;0;0;7152.54645661365;8652.99227866226;0.586648813684918;46.6589761361362;9273.6;1;1;2.39789527279837;1;1;0;1;4;8.87522372006062;2;8.65299227866226
10;1;1;1;0;0;15491.8558054715;12937.7240451936;0.649907749555625;101.572710138202;6109.66;1;1;2.39789527279837;1;1;0;1;4;9.64806973291456;2;12.9377240451936
10;1;1;1;0;0;3665.33994135579;8534.82926914737;0.862969386120589;47.9515559810751;5245.75;1;1;2.39789527279837;1;1;0;1;4;8.20667636345892;2;8.53482926914737
9;1;1;1;0;1;141128.910435759;4690.21007856199;0.902257144240554;91.9175201447228;17753.7;1;0;2.30258509299405;1;1;0;1;4;11.8574290100903;2;4.69021007856199
9;1;1;1;0;0;11479.0165259284;11632.3132828489;0.569154012057584;46.0328558482348;4941.57;0;0;2.30258509299405;1;1;0;1;4;9.34827599773067;2;11.6323132828489
9;1;0;1;0;1;33643.8907016792;9822.27347588709;0.865993243595836;123.077149335513;10957.8;0;0;2.30258509299405;1;1;0;1;4;10.423586764405;2;9.82227347588709
9;1;1;1;0;0;48057.4045688019;7832.55946744498;0.879417336530982;124.631142301614;13113.7;1;1;2.30258509299405;1;1;0;1;4;10.7801515038539;2;7.83255946744498
8;1;1;1;0;0;6271.15760434584;8042.8485737703;0.764596844899198;103.291287688187;7498.88;0;0;2.19722457733622;1;1;0;1;4;8.74371624247818;2;8.0428485737703
8;1;1;1;0;0;14519.7794336983;10719.8858880731;0.813990633610018;94.2969387792192;9265.56;1;0;2.19722457733622;1;1;0;1;4;9.58326709774676;2;10.7198858880731
8;1;1;1;0;0;23703.7189772794;11807.6094380408;0.797312889656159;83.8740688645503;13852.6;1;0;2.19722457733622;1;1;0;1;4;10.0733872336853;2;11.8076094380408
8;1;1;1;0;1;117728.377699901;5698.72455435155;0.919278194388153;131.421085825864;17066;1;1;2.19722457733622;1;1;0;1;4;11.6761353661412;2;5.69872455435155
8;1;1;1;0;0;7211.03570526587;5778.38874965669;0.689314203591565;47.284766826368;4876.13;1;1;2.19722457733622;1;1;0;1;4;8.88336786840441;2;5.77838874965669
