"","OBJECTID","ADIDU","DRIDU","DRNOM","SDRIDU","SDRNOM","REIDU","RENOM","RMRIDU","SRIDU","SRNOM","ADAIDU","Pop2016","A014","A15Plus","A65Plus","A064","PopFR","PopNonFR","PopMV","popNonMV","A014Pct","A65Pct","PopFRPct","PopMVPct","Km2","HabKm2","Shape_Leng","Shape_Area","prt_hot","prt_veg","dist_cntr","Arrond","hot"
"697","698","24661006","2466","Montréal","2466023","Montréal","2440","Montréal","462","4620092.00","0092.00","24660213",301,35,266,60,241,45,255,30,275,11.63,19.93,15,10,0.0337006,8931.58276605,864.90767991,33700.6330346,40.9638554216867,38.7032640949555,6.50077439137164,"Le Sud-Ouest",0.41
"698","699","24661007","2466","Montréal","2466023","Montréal","2440","Montréal","462","4620092.00","0092.00","24660213",510,90,420,65,445,90,420,65,405,17.65,12.75,17.65,13.83,0.0478577,10656.6002553,952.014189197,47857.6637098,57.5,35.6790536303975,6.56077641317174,"Le Sud-Ouest",0.58
"699","700","24661008","2466","Montréal","2466023","Montréal","2440","Montréal","462","4620092.00","0092.00","24660213",388,65,323,45,343,95,290,150,225,16.75,11.6,24.68,39.47,0.0228988,16944.1147111,799.75474241,22898.8058735,44.8275862068966,39.0717778553964,6.65024832668098,"Le Sud-Ouest",0.45
"700","701","24661009","2466","Montréal","2466023","Montréal","2440","Montréal","462","4620092.00","0092.00","24660213",624,95,529,145,479,100,525,160,425,15.22,23.24,16,27.59,0.0497785,12535.5411768,963.633187671,49778.4642248,27.6422764227642,44.6500321440051,6.69175512584468,"Le Sud-Ouest",0.28
"701","702","24661010","2466","Montréal","2466023","Montréal","2440","Montréal","462","4620092.00","0092.00","24660213",605,80,525,110,495,85,520,175,425,13.22,18.18,14.05,29.41,0.0641656,9428.7315026,1117.43593054,64165.5763119,49.6932515337423,34.3389640341582,6.79019198738852,"Le Sud-Ouest",0.5
"702","703","24661011","2466","Montréal","2466023","Montréal","2440","Montréal","462","4620092.00","0092.00","24660213",451,75,376,65,386,55,395,300,180,16.63,14.41,12.22,62.5,0.0562733,8014.46328816,1412.15163116,56273.2625712,49.2753623188406,38.5843004140824,6.7296573835534,"Le Sud-Ouest",0.49
"703","704","24661012","2466","Montréal","2466023","Montréal","2440","Montréal","462","4620092.00","0092.00","24660213",570,50,520,260,310,110,275,150,270,8.77,45.61,28.57,35.71,0.0481137,11846.9467388,1029.75501448,48113.662777,43.0894308943089,44.9448242897816,6.48332362322154,"Le Sud-Ouest",0.43
"704","705","24661013","2466","Montréal","2466023","Montréal","2440","Montréal","462","4620092.00","0092.00","24660213",635,90,545,90,545,70,565,135,485,14.17,14.17,11.02,21.6,0.0451924,14051.0252867,936.057923496,45192.4332002,67.8571428571429,31.1649518752074,6.39491797205816,"Le Sud-Ouest",0.68
"705","706","24661014","2466","Montréal","2466023","Montréal","2440","Montréal","462","4620092.00","0092.00","24660213",630,105,525,115,515,100,520,120,490,16.67,18.25,16.13,19.67,0.0479203,13146.815501,950.472123554,47920.3487038,52.5,38.3382715018988,6.30237089580964,"Le Sud-Ouest",0.52
"706","707","24661015","2466","Montréal","2466023","Montréal","2440","Montréal","462","4620092.00","0092.00","24660213",314,60,254,40,274,80,235,70,235,19.11,12.74,25.4,22.58,0.0322048,9750.10971022,854.309631106,32204.7652606,45,45.4164337618781,6.24179138679261,"Le Sud-Ouest",0.45
"707","708","24661016","2466","Montréal","2466023","Montréal","2440","Montréal","462","4620092.00","0092.00","24660213",624,85,539,90,534,135,485,110,565,13.62,14.42,21.77,16.3,0.0549726,11351.1032684,993.0904654,54972.6293156,70.0729927007299,28.9880118607993,6.1377315536896,"Le Sud-Ouest",0.7
"708","709","24661017","2466","Montréal","2466023","Montréal","2440","Montréal","462","4620089.00","0089.00","24660211",709,90,619,60,649,220,490,275,430,12.69,8.46,30.99,39.01,0.059054,12005.9594485,1478.57622527,59054.0062715,79.7297297297297,31.2186695569706,6.18803409632165,"Le Sud-Ouest",0.8
"722","723","24661018","2466","Montréal","2466023","Montréal","2440","Montréal","462","4620089.00","0089.00","24660211",755,110,645,120,635,120,635,180,615,14.57,15.89,15.89,22.5,0.0645332,11699.4063429,1037.50130001,64533.1888746,56.875,35.2671377215818,6.25180697469429,"Le Sud-Ouest",0.57
"723","724","24661019","2466","Montréal","2466023","Montréal","2440","Montréal","462","4620089.00","0089.00","24660211",557,80,477,95,462,90,465,105,505,14.36,17.06,16.22,17.21,0.0450367,12367.6800889,937.230429695,45036.7407154,65.7894736842105,31.548213770288,6.0901347460142,"Le Sud-Ouest",0.66
"724","725","24661020","2466","Montréal","2466023","Montréal","2440","Montréal","462","4620089.00","0089.00","24660211",613,70,543,115,498,115,500,80,530,11.42,18.76,18.7,13.11,0.0614831,9970.2218659,1024.44458722,61483.0842792,35.2564102564103,44.944295356591,6.04011040648284,"Le Sud-Ouest",0.35
"725","726","24661021","2466","Montréal","2466023","Montréal","2440","Montréal","462","4620086.00","0086.00","24660195",279,35,244,40,239,55,220,55,250,12.54,14.34,20,17.74,0.0349237,7988.83601548,784.323657277,34923.734892,25,47.1319339041782,5.90631308853818,"Le Sud-Ouest",0.25
"726","727","24661022","2466","Montréal","2466023","Montréal","2440","Montréal","462","4620086.00","0086.00","24660195",394,40,354,85,309,50,340,55,355,10.15,21.57,12.82,13.1,0.0756804,5206.1057873,1105.89240053,75680.3650407,29.1005291005291,47.0022332932486,5.62049668336274,"Le Sud-Ouest",0.29
"727","728","24661023","2466","Montréal","2466023","Montréal","2440","Montréal","462","4620086.00","0086.00","24660195",482,55,427,105,377,95,385,110,380,11.41,21.78,19.79,22.68,0.0771518,6247.42590498,1154.83867183,77151.7725932,32.8205128205128,43.8150543767094,5.72419685200866,"Le Sud-Ouest",0.33
"728","729","24661024","2466","Montréal","2466023","Montréal","2440","Montréal","462","4620086.00","0086.00","24660195",497,55,442,140,357,90,410,55,370,11.07,28.17,18,12.79,0.0906254,5484.11205127,1668.21092876,90625.4264272,25.764192139738,48.4584657485876,5.27079013729239,"Le Sud-Ouest",0.26
"729","730","24661025","2466","Montréal","2466023","Montréal","2440","Montréal","462","4620086.00","0086.00","24660195",531,65,466,80,451,80,455,70,480,12.24,15.07,14.95,12.73,0.072068,7368.03841615,1160.76459137,72068.0274899,19.6629213483146,54.7363017024878,5.2888007590087,"Le Sud-Ouest",0.2
