"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","ID","gc","term","Q1","Q44","Q45_1","Q47","Q48","Q49","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q12","Q13","Q11_1","Q11_2","Q11_3","Q11_4","Q14","Q15","Q16_1","Q16_2","Q16_3","Q16_4","Q16_5","Q17","Q18","Q19","Q20","Q21","Q22","Q23","Q24","Q25","Q27","Q28","Q26_1","Q26_2","Q26_3","Q26_4","Q29","Q30","Q31_1","Q31_2","Q31_3","Q31_4","Q31_5","Q32","Q33","Q34","Q35","Q36","Q37","Q38","Q39","Q40","Q41","Q42","Q43","Q46_1","Q50","Q51","DO_BR_FL_11","random","FEMALE","AGE","BS","AD","INCOME","SAFEB","DENYGMB","WARMB","DENYGWB","DENYBB","SCIGM","SCIGW","KNOWGM1","KNOWGM2","KNOWGM3","KNOWGM","KNOWGW1","KNOWGW2","KNOWGW3","KNOWGW","ICGMB","ICGWB","SD","D","LD","I","SR","R","LR","IDK1","OTH","DEM","REP","EL","SL","M","EC","SC","IDK2","CRT1","CRT2","CRT3","CRT","Y","Parti","ConnaisOGM","ConnaisRechClim","PercepOGM","PercepRechClim","Sexe","Revenu","Bachelor"
"1","R_5haiXGgpzmb2JKt","Default Response Set","Anonymous",NA,NA,"98.93.218.79",0,"24APR13:18:12:00","24APR13:18:17:00",1,"d7a7888e333ef66c6d1b1caaf6fc8485",1,"",1,1,3,2,2,1,4,5,3,4,4,"2",1,1,2,1,1,34.317,34.317,34.319,1,4,4,5,4,4,5,4,4,1,3,4,1,"2",1,1,2,1,1,43.353,44.256,44.257,3,4,4,5,4,4,5,4,"2","1",6,3,1,2,2,7,2,"1","100 minutes","24","17","10","1","GMO Questions|Global Warming Questions",1,0,3,0,0,1,3,0,3,0,0,3,3,0,0,1,1,0,0,1,1,"10","7",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"A","Republicain",1,1,3,3,"homme",1,2
"2","R_7WGB44SCtxH3Hff","Default Response Set","Anonymous",NA,NA,"184.90.247.195",0,"24APR13:18:13:00","24APR13:18:19:00",1,"5a4d9fc05161ff6558e57eb5d71e70f9",1,"",1,1,12,2,2,2,3,4,2,2,3,"4",2,1,1,1,1,31.708,31.708,31.71,1,4,3,4,3,3,3,4,3,2,4,2,3,"2",1,1,2,1,1,87.135,87.135,87.138,1,4,3,4,4,3,4,4,"1","1",6,3,1,2,1,4,4,"0.1","20","24","9","10","1","GMO Questions|Global Warming Questions",1,0,12,0,0,2,2,0,2,0,0,2,4,1,0,0,1,0,0,1,1,"9","7",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"A","Republicain",1,1,2,4,"homme",2,2
"3","R_6YG5FwR4C2eeB3n","Default Response Set","Anonymous",NA,NA,"99.12.150.78",0,"24APR13:18:13:00","24APR13:18:20:00",1,"7122760570097f4493c61c05010ef450",1,"",1,1,1,1,1,7,3,3,3,3,3,"3",1,2,1,1,1,67.948,67.948,67.953,1,4,5,4,4,2,2,2,4,4,4,2,2,"2",2,1,2,1,1,41.467,41.467,41.471,1,4,4,4,4,2,2,2,"1","1",8,6,1,5,5,7,6,"0,10","100","25","10","10","2","Global Warming Questions|GMO Questions",0,0,1,1,1,7,2,0,3,0,0,3,4,0,1,0,1,1,0,1,2,"9","6",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"A","autre",1,2,3,4,"homme",7,1
"4","R_56B1an8VH7pVrLv","Default Response Set","Anonymous",NA,NA,"146.74.94.77",0,"24APR13:18:13:00","24APR13:18:20:00",1,"2f25fc8142c3f9b345f5ad838321c3d5",1,"",1,1,1,2,2,5,3,3,3,3,3,"3",2,2,2,1,1,37.353,37.353,37.354,1,4,3,4,4,2,2,2,4,4,4,1,2,"2",1,2,2,1,1,15.651,31.722,31.724,3,4,3,4,4,2,2,2,"1","2",8,4,1,5,5,7,1,"10 cents","1 minute","47 day","5","10","6","Global Warming Questions|GMO Questions",0,0,1,0,0,5,2,0,3,0,0,3,4,1,1,1,3,0,1,1,2,"9","5",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"A","autre",3,2,3,4,"homme",5,2
"5","R_bmcLyVKNoOU1Qzj","Default Response Set","Anonymous",NA,NA,"50.121.147.99",0,"24APR13:18:13:00","24APR13:18:20:00",1,"69b1ebfa425341d5b06655cc33a8749e",1,"",1,1,16,1,1,6,4,4,4,2,2,"2",2,1,2,1,1,33.765,33.765,33.771,1,2,4,4,4,5,4,4,4,2,4,2,4,"2",1,1,2,1,1,31.838,31.838,31.844,1,4,4,4,4,5,4,2,"1","1",5,4,1,2,2,7,1,"0.5","100","24","48","1","1","GMO Questions|Global Warming Questions",1,0,16,1,1,6,3,0,3,0,0,4,4,1,0,1,2,0,0,1,1,"6","8",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"A","Republicain",2,1,4,4,"homme",6,1
"6","R_40yiYwHoS9KPgSp","Default Response Set","Anonymous",NA,NA,"205.237.170.19",0,"24APR13:18:16:00","24APR13:18:21:00",1,"8c2d90c9f0142162bbc7de2c6c6357f2",1,"",1,1,5,1,2,1,3,3,3,2,2,"1",2,2,1,1,1,46.61,46.61,46.611,1,4,4,4,4,2,2,1,4,3,3,2,4,"2",2,2,1,1,1,33.698,33.698,33.7,1,3,3,2,2,2,4,2,"2","2",5,4,1,2,2,7,6,"0.1","100 minutes","24","13","2","1","Global Warming Questions|GMO Questions",0,0,5,1,0,1,2,0,3,0,0,3,3,1,1,0,2,1,1,0,2,"5","8",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"A","Republicain",2,2,3,3,"homme",1,1
"7","R_8AoybxUEKlo4wXb","Default Response Set","Anonymous",NA,NA,"71.80.21.251",0,"24APR13:18:14:00","24APR13:18:21:00",1,"fe950c6daf19a5daea157f5927b4d45a",1,"",1,2,25,2,2,1,3,3,3,3,3,"3",2,2,1,1,1,32.508,32.508,32.511,1,4,4,4,4,4,4,4,4,5,5,3,2,"2",1,1,2,1,1,31.563,31.563,31.567,1,4,5,4,4,3,3,3,"1","1",2,3,1,4,2,7,1,"10","20","96","46","10","1","GMO Questions|Global Warming Questions",1,1,25,0,0,1,2,0,3,0,0,3,5,1,1,0,2,0,0,1,1,"9","7",0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,"A","Democrate",2,1,3,5,"femme",1,2
"8","R_0wEJxTwXwjB1lOZ","Default Response Set","Anonymous",NA,NA,"68.224.238.249",0,"24APR13:18:14:00","24APR13:18:22:00",1,"1adaf2955c0a7c52bebe31a21d53ee8e",1,"",1,2,46,1,1,8,4,4,4,2,2,"1",2,2,2,1,1,31.704,31.704,31.706,1,4,3,4,4,2,1,1,2,2,4,2,4,"2",1,2,2,1,1,32.919,32.919,32.921,1,4,3,3,2,2,4,2,"2","1",4,3,1,1,2,7,1,"0.01","100","24","28","1","1","Global Warming Questions|GMO Questions",0,1,46,1,1,8,3,0,1,1,2,4,4,1,1,1,3,0,1,1,2,"5","8",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"C","autre",3,2,4,4,"femme",8,1
"9","R_eUHUIwiKYw7v42h","Default Response Set","Anonymous",NA,NA,"138.86.167.77",0,"24APR13:18:14:00","24APR13:18:22:00",1,"bb8d4367cb50afed7e13e4c33eae70be",1,"",1,1,2,2,2,3,5,4,5,1,1,"2",2,2,2,1,1,33.922,33.922,33.923,1,5,5,5,4,1,1,1,4,4,4,3,5,"1",1,2,2,1,1,33.86,33.86,33.862,1,3,4,4,4,5,3,4,"1","1",2,2,1,2,1,7,1,"0.05","100 minutes","24 days","6","9","1","Global Warming Questions|GMO Questions",0,0,2,0,0,3,4,0,3,0,0,5,4,1,1,1,3,0,1,1,2,"4","9",0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,"A","Democrate",3,2,5,4,"homme",3,2
"10","R_20hgN0XIyOQA7Q1","Default Response Set","Anonymous",NA,NA,"71.239.160.101",0,"24APR13:18:14:00","24APR13:18:22:00",1,"c5ffb9a05200a61f7e3a3d88fd9daea1",1,"",1,1,29,1,1,7,3,3,3,3,3,"1",2,2,2,1,1,38.439,40.554,40.555,2,4,4,4,4,3,3,1,3,3,3,3,4,"1",1,2,2,1,1,42.157,43.478,43.479,2,3,3,3,3,3,3,2,"2","1",5,3,1,1,2,7,3,"0.1","5 minutes","47 days","13","1","1","GMO Questions|Global Warming Questions",1,0,29,1,1,7,2,0,2,0,0,3,3,1,1,1,3,0,1,1,2,"7","8",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"A","Republicain",3,2,3,3,"homme",7,1
