"X","y","Pays","Sexe","Age","Education","Statut_emploi","Revenu","Residence","Duree","mode_pref","StatutEmploi","ConsEnv"
1,0,"Belgique","femme",49,"secondaire","Not Employed","faible","aire metropolitaine",20,"vehicule individuel","sans emploi",5
2,0,"France","homme",26,"universite","Not Employed","tres faible","petite-moyenne ville",20,"vehicule individuel","sans emploi",8
3,1,"Tchéquie","homme",50,"universite","Employed","moyen","grande ville",20,"marche","employe",6
4,0,"Suède","homme",54,"universite","Employed","eleve","aire metropolitaine",60,"transport collectif","employe",8
5,0,"Pologne","homme",36,"secondaire","Employed","eleve","aire metropolitaine",30,"vehicule individuel","employe",8
6,1,"Belgique","homme",60,"secondaire","Not Employed","moyen","petite-moyenne ville",45,"velo","sans emploi",5
7,0,"Hongrie","homme",49,"secondaire","Employed","moyen","petite-moyenne ville",70,"vehicule individuel","employe",5
8,1,"Suède","femme",39,"universite","Employed","eleve","petite-moyenne ville",4,"velo","employe",10
9,0,"France","homme",27,"universite","Employed","sans reponse","petite-moyenne ville",20,"marche","employe",8
10,0,"Belgique","femme",17,"secondaire inferieur","Not Employed","moyen","aire metropolitaine",55,"transport collectif","sans emploi",8
11,0,"Pologne","homme",36,"secondaire","Employed","tres eleve","aire metropolitaine",40,"transport collectif","employe",5
12,1,"Allemagne","homme",23,"secondaire inferieur","Employed","faible","petite-moyenne ville",25,"velo","employe",7
13,0,"Espagne","femme",36,"universite","Employed","sans reponse","petite-moyenne ville",60,"transport collectif","employe",5
14,0,"Danemark","homme",45,"secondaire","Employed","eleve","petite-moyenne ville",40,"vehicule individuel","employe",3
15,0,"Italie","homme",43,"secondaire","Employed","moyen","zone rurale",15,"marche","employe",8
16,0,"Finlande","femme",29,"universite","Employed","moyen","aire metropolitaine",35,"transport collectif","employe",8
17,0,"Belgique","homme",50,"secondaire inferieur","Employed","moyen","zone rurale",60,"vehicule individuel","employe",8
18,0,"Italie","femme",38,"secondaire","Not Employed","moyen","zone rurale",5,"vehicule individuel","sans emploi",7
19,1,"Tchéquie","homme",31,"universite","Employed","eleve","aire metropolitaine",35,"velo","employe",9
20,1,"Tchéquie","homme",41,"universite","Employed","moyen","petite-moyenne ville",15,"velo","employe",9
21,0,"Pays-Bas","femme",36,"secondaire","Not Employed","moyen","zone rurale",10,"vehicule individuel","sans emploi",9
22,0,"Belgique","femme",29,"secondaire","Employed","faible","grande ville",40,"marche","employe",1
23,0,"Suède","homme",46,"secondaire","Employed","moyen","zone rurale",25,"vehicule individuel","employe",5
24,0,"Roumanie","homme",35,"universite","Employed","moyen","petite-moyenne ville",30,"marche","employe",10
25,0,"Tchéquie","homme",46,"universite","Employed","faible","zone rurale",35,"vehicule individuel","employe",8
26,0,"Roumanie","femme",43,"universite","Employed","moyen","petite-moyenne ville",30,"vehicule individuel","employe",10
27,0,"Tchéquie","femme",37,"secondaire","Employed","faible","petite-moyenne ville",20,"marche","employe",10
28,0,"Espagne","homme",35,"secondaire","Not Employed","faible","petite-moyenne ville",90,"vehicule individuel","sans emploi",10
29,0,"Pologne","femme",25,"universite","Employed","faible","petite-moyenne ville",30,"vehicule individuel","employe",7
30,0,"Tchéquie","homme",35,"secondaire","Employed","moyen","petite-moyenne ville",35,"marche","employe",9
31,1,"Allemagne","homme",28,"secondaire inferieur","Employed","faible","aire metropolitaine",35,"marche","employe",4
32,0,"Danemark","homme",57,"universite","Employed","eleve","aire metropolitaine",5,"vehicule individuel","employe",7
33,0,"Allemagne","homme",46,"secondaire","Employed","sans reponse","zone rurale",18,"vehicule individuel","employe",8
34,0,"Danemark","homme",54,"universite","Not Employed","moyen","aire metropolitaine",15,"transport collectif","sans emploi",7
35,0,"Italie","homme",59,"secondaire","Employed","moyen","petite-moyenne ville",40,"vehicule individuel","employe",7
36,0,"Espagne","femme",36,"universite","Employed","moyen","grande ville",75,"transport collectif","employe",8
37,0,"France","femme",29,"universite","Employed","moyen","zone rurale",30,"vehicule individuel","employe",9
38,1,"Finlande","homme",44,"universite","Employed","moyen","grande ville",10,"velo","employe",8
39,1,"Pays-Bas","femme",50,"secondaire","Not Employed","moyen","zone rurale",10,"velo","sans emploi",5
40,0,"Roumanie","homme",51,"secondaire","Employed","moyen","petite-moyenne ville",20,"marche","employe",8
41,1,"Hongrie","femme",27,"universite","Employed","moyen","petite-moyenne ville",10,"velo","employe",7
42,0,"Pologne","homme",25,"universite","Employed","moyen","zone rurale",26,"transport collectif","employe",8
43,0,"Belgique","femme",58,"secondaire","Not Employed","faible","petite-moyenne ville",40,"marche","sans emploi",5
44,0,"Tchéquie","homme",37,"universite","Employed","faible","zone rurale",30,"vehicule individuel","employe",1
45,0,"Finlande","femme",51,"universite","Employed","moyen","aire metropolitaine",15,"transport collectif","employe",9
46,0,"Finlande","femme",22,"secondaire","Employed","moyen","aire metropolitaine",10,"transport collectif","employe",9
47,0,"Danemark","homme",45,"universite","Employed","eleve","petite-moyenne ville",45,"vehicule individuel","employe",4
48,0,"Pologne","femme",25,"universite","Not Employed","moyen","aire metropolitaine",50,"transport collectif","sans emploi",7
49,1,"Hongrie","femme",28,"secondaire inferieur","Employed","faible","petite-moyenne ville",30,"velo","employe",8
50,0,"Portugal","femme",27,"universite","Employed","moyen","petite-moyenne ville",120,"vehicule individuel","employe",8
51,0,"Finlande","homme",22,"universite","Not Employed","moyen","petite-moyenne ville",10,"vehicule individuel","sans emploi",6
52,1,"Belgique","femme",46,"universite","Not Employed","eleve","grande ville",30,"marche","sans emploi",7
53,0,"Tchéquie","homme",36,"universite","Employed","moyen","petite-moyenne ville",10,"vehicule individuel","employe",3
54,0,"Portugal","femme",37,"secondaire","Employed","moyen","zone rurale",40,"marche","employe",4
55,0,"Tchéquie","femme",30,"secondaire inferieur","Not Employed","moyen","grande ville",10,"transport collectif","sans emploi",8
56,0,"Lituanie","homme",34,"secondaire","Employed","moyen","grande ville",5,"vehicule individuel","employe",10
57,0,"Lituanie","femme",51,"secondaire","Employed","moyen","petite-moyenne ville",15,"marche","employe",7
58,0,"Ireland","homme",49,"universite","Employed","moyen","zone rurale",20,"vehicule individuel","employe",4
59,0,"Grèce","femme",49,"secondaire inferieur","Employed","faible","aire metropolitaine",30,"transport collectif","employe",4
60,0,"Allemagne","homme",47,"universite","Employed","eleve","petite-moyenne ville",20,"vehicule individuel","employe",5
61,1,"Finlande","femme",53,"secondaire","Employed","moyen","zone rurale",3,"velo","employe",5
62,0,"Grèce","homme",39,"universite","Employed","moyen","zone rurale",10,"vehicule individuel","employe",7
63,0,"Grande Bretagne","femme",56,"secondaire inferieur","Not Employed","faible","aire metropolitaine",15,"marche","sans emploi",10
64,1,"Estonie","homme",52,"secondaire","Employed","faible","petite-moyenne ville",210,"velo","employe",5
65,1,"Estonie","femme",26,"universite","Employed","faible","grande ville",25,"velo","employe",6
66,0,"Lituanie","homme",26,"secondaire","Employed","eleve","aire metropolitaine",205,"vehicule individuel","employe",10
67,0,"Slovénie","homme",21,"secondaire","Not Employed","moyen","petite-moyenne ville",30,"marche","sans emploi",4
68,0,"Estonie","femme",38,"universite","Employed","sans reponse","grande ville",30,"vehicule individuel","employe",8
69,0,"Lettonie","homme",17,"secondaire inferieur","Not Employed","tres eleve","zone rurale",94,"marche","sans emploi",9
70,0,"Espagne","femme",28,"universite","Not Employed","sans reponse","grande ville",30,"marche","sans emploi",9
71,0,"France","femme",34,"universite","Employed","faible","petite-moyenne ville",8,"vehicule individuel","employe",5
72,0,"Croatie","femme",19,"secondaire","Not Employed","moyen","petite-moyenne ville",60,"marche","sans emploi",9
