"OID","SRIDU","SRNOM","RMRIDU","Region","KM2","Pop2016","Logement","A014","A1564","A65plus","AgeMoyen","AgeMedian","MaisonIndi","App5Plus","MaisJumule","MaisRangee","AppDuplex","App5Moins","AutreMais","LogMobile","Menage1","MenageMoy","TotFamille","FamMono","RevMedMen","FaibleRev","Immigrant","ImgRec","MinVisible","Proprio","Locataire","PieceLog","LogTailCon","LogTailInc","LogAv60","Log61_80","Log81_90","Log91_00","Log_01_05","Log06_10","Log11_16","ValMedLog","ValMoyLog","LoyerMed","LoyerMoy","HabKm2","Hab1000Km2"
"1","4620725.07","0725.07","462","Laurentides",1.4928,6352,2207,21.97,71.57,6.54,35.3,37.3,71.66,0,18.59,3.17,0.68,5.9,0,0,13.57,2.9,1900,16.58,94883,3.94,9.97,1.03,12.03,90.97,9.03,7.1,98.42,1.58,0.45,14.9,26.41,31.15,21.44,2.71,2.93,259193,260038,882,839,4255.0911039657,4.2550911039657
"2","4620652.04","0652.04","462","Laval",1.30898,4266,1531,17.47,66.59,15.94,40.7,42.7,66.78,3.91,19.22,1.95,4.56,3.26,0.33,0,17.97,2.8,1265,14.62,85632,7.06,25.23,2.21,20.67,85.39,14.61,6.7,96.42,3.58,14.05,43.79,28.43,8.5,0.98,3.59,0.65,300496,325614,737,766,3259.02611193448,3.25902611193448
"3","4620098.00","0098.00","462","Montréal",1.06913,5332,2245,17.62,64.76,17.62,41.5,43.3,18.97,0.45,20.54,0.45,22.1,37.28,0.22,0,32.96,2.4,1460,21.92,64640,15.82,38.01,4.23,28.32,59.91,40.09,5.6,92.43,7.57,68.44,17.78,4.89,1.78,3.33,2.89,0.89,460322,486064,762,830,4987.23260969199,4.98723260969199
"4","4620099.00","0099.00","462","Montréal",0.71269,5627,2622,17.96,62.13,20,41.9,42.3,9.14,27.05,18.67,1.52,4.76,38.86,0,0,42.1,2.1,1425,22.11,52281,21.6,37.41,4.26,33.07,43.07,56.93,4.9,94.5,5.5,49.9,17.33,5.71,8.57,6.29,11.81,0.38,501352,529746,786,776,7895.43840940661,7.89543840940661
"5","4620102.00","0102.00","462","Montréal",0.607842,4213,1983,16.27,68.17,15.8,40.4,40.7,7.58,8.84,9.34,0.76,35.35,37.88,0.25,0,39.04,2.1,1125,20.44,71131,15.44,28.78,6.9,18.91,43.22,56.78,5.3,94.71,5.29,71.5,17,5.5,3,0.5,0.5,2,501548,561466,943,1001,6931.07748395142,6.93107748395142
"6","4620103.00","0103.00","462","Montréal",0.343296,2413,1101,15.56,68.67,15.77,40.9,41.2,4.52,0,33.03,11.76,0.45,49.77,0.45,0,36.82,2.2,630,11.9,82464,11.59,22.15,2.28,13.25,55.91,44.09,5.9,96.35,3.65,77.63,9.59,3.65,5.02,0,1.37,2.74,717957,710680,770,807,7028.91964951529,7.02891964951529
"7","4620104.00","0104.00","462","Montréal",0.391482,2821,1129,18.44,64.54,17.2,40.7,42.6,8.41,8.85,36.73,9.73,15.04,21.24,0,0,29.2,2.5,740,12.16,113920,11.25,25.26,3.11,13.84,67.95,32.05,6.9,97.86,2.14,84.19,8.55,5.56,0,0,0,1.71,800801,787145,873,896,7205.95072059507,7.20595072059507
"8","4620105.00","0105.00","462","Montréal",0.312589,3342,1550,17.96,66.32,15.87,40.2,40.1,0.32,7.07,0.96,0.32,60.77,29.9,0,0.64,36.13,2.2,905,21.55,78592,13.06,29.12,4.93,18.18,50,50,5.6,96.36,3.64,82.72,11.3,1,4.32,0.66,0,0,499900,524231,1019,1176,10691.3551020669,10.6913551020669
"9","4620106.00","0106.00","462","Montréal",0.24476,2114,912,13.71,64.07,22.46,44.1,41,1.66,32.6,3.87,0.55,36.46,24.86,0,0,40.44,2.1,485,19.59,61269,18.72,31.42,7.65,26.03,41.9,58.1,5.2,93.33,6.67,63.48,28.65,3.37,2.81,0,1.69,0,501583,591794,878,1005,8637.03219480307,8.63703219480307
"10","4620107.00","0107.00","462","Montréal",0.159986,1544,801,11.97,77.99,10.03,37,33.4,0.63,32.08,0.63,1.26,3.14,61.64,0.63,0,51.25,1.9,320,25,43840,27.18,42.86,13.04,39.75,18.67,81.33,4,92.17,7.83,58.54,25,9.15,4.88,0,2.44,0,400461,466203,812,924,9650.84444888928,9.65084444888928
