"HEURE_ACCDN","DT_ACCDN","NB_VICTIMES_TOTAL"
"16:00:00-16:59:00","2017/11/02",0
"06:00:00-06:59:00","2017/01/16",1
"18:00:00-18:59:00","2017/04/18",0
"11:00:00-11:59:00","2017/05/28",1
"15:00:00-15:59:00","2017/05/28",1
"09:00:00-09:59:00","2017/06/08",0
"08:00:00-08:59:00","2017/06/14",1
"19:00:00-19:59:00","2017/07/26",0
"16:00:00-16:59:00","2017/08/04",1
"20:00:00-20:59:00","2017/08/06",1
"15:00:00-15:59:00","2017/08/30",1
"15:00:00-15:59:00","2017/09/01",0
"17:00:00-17:59:00","2017/10/01",1
"17:00:00-17:59:00","2017/04/18",1
"12:00:00-12:59:00","2017/05/10",0
"19:00:00-19:59:00","2017/05/25",1
"12:00:00-12:59:00","2017/05/27",1
"09:00:00-09:59:00","2017/06/17",1
"12:00:00-12:59:00","2017/07/04",1
"12:00:00-12:59:00","2017/08/17",0
"00:00:00-00:59:00","2017/08/18",0
"08:00:00-08:59:00","2017/09/07",0
"11:00:00-11:59:00","2017/09/16",1
"14:00:00-14:59:00","2017/03/18",0
"20:00:00-20:59:00","2017/04/13",1
"18:00:00-18:59:00","2017/04/18",1
"09:00:00-09:59:00","2017/05/20",1
"14:00:00-14:59:00","2017/06/10",1
"10:00:00-10:59:00","2017/07/11",1
"11:00:00-11:59:00","2017/07/16",1
"12:00:00-12:59:00","2017/09/24",1
"09:00:00-09:59:00","2017/11/16",0
"16:00:00-16:59:00","2017/03/30",1
"18:00:00-18:59:00","2017/04/29",1
"15:00:00-15:59:00","2017/05/23",1
"08:00:00-08:59:00","2017/05/27",0
"18:00:00-18:59:00","2017/06/07",1
"21:00:00-21:59:00","2017/06/07",1
"11:00:00-11:59:00","2017/06/22",1
"00:00:00-00:59:00","2017/07/13",1
"15:00:00-15:59:00","2017/08/30",1
"18:00:00-18:59:00","2017/09/11",1
"11:00:00-11:59:00","2017/09/19",1
"17:00:00-17:59:00","2017/09/21",1
"17:00:00-17:59:00","2017/11/14",1
"16:00:00-16:59:00","2017/11/15",1
"14:00:00-14:59:00","2017/04/09",0
"16:00:00-16:59:00","2017/04/18",1
"17:00:00-17:59:00","2017/04/23",1
"16:00:00-16:59:00","2017/05/16",1
"13:00:00-13:59:00","2017/05/21",1
"15:00:00-15:59:00","2017/05/21",1
"12:00:00-12:59:00","2017/06/05",1
"17:00:00-17:59:00","2017/06/09",0
"15:00:00-15:59:00","2017/06/12",1
"15:00:00-15:59:00","2017/06/12",1
"17:00:00-17:59:00","2017/06/20",1
"10:00:00-10:59:00","2017/06/26",0
"13:00:00-13:59:00","2017/07/05",1
"17:00:00-17:59:00","2017/07/08",0
"07:00:00-07:59:00","2017/07/11",0
"18:00:00-18:59:00","2017/07/21",1
"01:00:00-01:59:00","2017/07/30",1
"08:00:00-08:59:00","2017/08/02",1
"15:00:00-15:59:00","2017/08/27",0
"07:00:00-07:59:00","2017/08/28",1
"16:00:00-16:59:00","2017/09/01",2
"16:00:00-16:59:00","2017/09/11",2
"19:00:00-19:59:00","2017/09/13",1
"18:00:00-18:59:00","2017/09/21",1
"21:00:00-21:59:00","2017/10/03",0
"16:00:00-16:59:00","2017/10/10",1
"13:00:00-13:59:00","2017/10/13",1
"18:00:00-18:59:00","2017/10/26",0
"19:00:00-19:59:00","2017/11/07",1
"22:00:00-22:59:00","2017/08/14",1
"12:00:00-12:59:00","2017/05/02",1
"07:00:00-07:59:00","2017/06/08",1
"10:00:00-10:59:00","2017/06/24",1
"07:00:00-07:59:00","2017/07/12",1
"15:00:00-15:59:00","2017/07/22",1
"16:00:00-16:59:00","2017/09/10",1
"15:00:00-15:59:00","2017/09/18",0
"18:00:00-18:59:00","2017/09/24",1
"14:00:00-14:59:00","2017/09/25",1
"11:00:00-11:59:00","2017/09/27",1
"18:00:00-18:59:00","2017/10/12",1
"07:00:00-07:59:00","2017/12/15",1
"01:00:00-01:59:00","2017/03/13",1
"22:00:00-22:59:00","2017/03/28",1
"08:00:00-08:59:00","2017/04/27",1
"14:00:00-14:59:00","2017/06/04",1
"16:00:00-16:59:00","2017/06/08",1
"02:00:00-02:59:00","2017/06/12",1
"07:00:00-07:59:00","2017/06/14",1
"12:00:00-12:59:00","2017/06/17",1
"17:00:00-17:59:00","2017/06/20",0
"08:00:00-08:59:00","2017/06/28",1
"18:00:00-18:59:00","2017/07/08",1
"09:00:00-09:59:00","2017/07/12",0
"23:00:00-23:59:00","2017/07/31",1
"15:00:00-15:59:00","2017/08/01",0
"08:00:00-08:59:00","2017/08/08",0
"20:00:00-20:59:00","2017/09/07",1
"12:00:00-12:59:00","2017/09/23",1
"10:00:00-10:59:00","2017/09/22",1
