"CTNAME","PopTotal","HabKm2","PctFRev","TxChomage","PctImmigrant","PctImgRecent","PctMenage1pers","PctFamilleMono","PctLangueMaternelleFR","PctLangueMaternelleAN","PctLangueMaternelleAU"
"0001.00",2565,5554,16.374,4.95,15.028,1.67,44.528,27.941,85.404,1.972,12.821
"0002.00",3485,8955,16.499,6.371,13.043,2.099,45.042,29.282,84.334,2.343,13.324
"0003.00",6295,8507,16.918,9.288,22.898,4.404,37.99,26.316,74.183,3.431,22.386
"0004.00",3090,6894,18.77,10.193,12.739,3.185,43.925,25.61,82.73,2.303,14.967
"0005.00",3015,5341,17.579,9.309,13.036,4.125,46.395,24.528,88.663,2.03,9.306
"0006.00",4410,6805,13.039,10.86,19.626,4.556,34.586,32.773,80.738,2.307,16.84
"0007.00",5655,5186,17.595,9.226,20.796,5.31,41.459,24.092,79.818,3.091,17.182
"0008.00",3015,4841,14.594,7.932,12.54,2.381,41.638,20.859,88.384,2.862,8.754
"0009.00",3415,800,12.592,10.049,16.738,3.147,38.415,24.581,82.239,3.582,14.179
"0010.00",1430,1553,13.287,6.369,19.322,8.136,41.135,26.027,82.042,2.113,15.845
"0011.00",5780,4628,29.066,8.319,25.865,5.45,43.009,19.218,72.391,3.62,24.074
"0012.01",2500,10517,21,7.5,28.144,6.188,47.909,28.226,69.854,3.742,26.403
"0012.02",3875,9778,21.548,12.895,34.71,13.548,47.643,22.513,62.621,3.586,33.931
"0013.00",4825,4451,28.29,6.084,16.838,3.696,51.386,18.534,81.237,3.412,15.352
"0014.01",7410,8228,10.054,8.031,24.831,6.478,50.489,19.883,75.226,3.41,21.294
"0015.00",4010,10641,8.978,8.12,14.01,3.856,49.66,26.203,89.141,2.778,8.081
"0016.00",2210,4258,17.873,13.953,10.455,2.5,48.085,25.51,86.261,4.505,9.459
"0017.00",2145,9563,10.256,12.048,11.194,3.731,52.101,26.804,89.549,3.563,6.888
"0018.00",1960,5331,9.184,7.884,11.253,3.581,54.386,24.096,88.831,4.156,7.273
"0019.00",2300,6918,16.087,8.55,12.32,3.285,52.124,24,87.611,3.54,8.85
"0021.00",2870,6479,8.188,13.399,11.169,3.665,42.16,32.787,86.372,3.717,9.735
"0022.00",1480,8658,9.122,9.392,12.639,1.487,45.912,27.273,88.852,3.934,7.213
"0023.00",1265,3531,8.696,13.043,16.423,7.299,47.445,23.214,84.4,4,12
"0024.00",2625,9509,10.667,6.875,17.481,5.263,48.097,27.826,85.827,3.543,10.827
"0025.00",2840,12722,12.5,7.989,16.334,5.626,45.033,23.485,88.087,3.61,8.484
"0026.00",2570,14707,10.506,6.583,12.097,2.419,52.174,23.478,86.68,3.777,9.543
"0027.00",1630,17168,8.896,9.091,10.465,2.907,50,25,88.088,3.762,8.464
"0028.00",2055,13034,7.299,6.406,10.956,3.497,49.784,19.767,89.951,3.676,6.373
"0029.00",3480,8670,12.787,7.383,14.719,4.04,51.621,23.288,84.672,3.65,11.533
"0030.00",3070,10177,10.261,9.476,24.582,8.528,53.889,18.75,74.45,3.723,21.827
