"OID","nb_accident","X","Y"
1,0,295768.935730523,5042199.4963186
2,0,295815.630469373,5042277.43726233
3,0,295827.634146737,5042619.07297817
4,0,295847.969974307,5041840.00004046
5,0,295872.563665751,5042691.39038263
6,1,295880.832302865,5042380.98543518
7,0,295882.314869312,5042016.51950632
8,0,295890.187017285,5042028.23460529
9,0,295890.339662215,5042232.49662044
10,0,295891.686515689,5042852.57924828
11,0,295895.372449644,5041912.93990332
12,1,295927.415164241,5042456.10961166
13,0,295933.352501233,5042918.33430024
14,0,295937.282913968,5042924.53683709
15,1,295937.317683236,5041980.46834482
16,0,295945.990459319,5041992.84024243
17,2,295946.810630375,5041673.50263616
18,0,295951.810503165,5042337.99628516
19,4,295960.410173316,5041457.49953744
20,0,295966.128274507,5042184.5031668
21,0,295974.052687322,5042527.61406707
22,0,295981.563486021,5041953.44359242
23,0,295987.104243018,5043005.24194544
24,0,295988.643370033,5042059.7705127
25,0,295989.182848901,5041964.55681952
26,0,295991.844314701,5041745.50411145
27,0,296005.529608599,5041495.50413312
28,0,296015.000908768,5042987.65946057
29,0,296018.136660104,5042599.8228692
30,0,296025.457110043,5041925.1420404
31,0,296026.283826634,5042289.00234809
32,0,296032.918551465,5041935.54765043
33,0,296035.013117905,5043081.57742019
34,0,296036.738820363,5042138.81567317
35,0,296037.433458986,5041820.91293891
36,3,296040.624671026,5041520.49502377
37,0,296053.977857599,5042655.26659257
38,0,296073.527500206,5041893.44831663
39,0,296074.464730375,5041120.00061184
40,0,296079.591241442,5042946.96103545
41,0,296081.306598162,5041905.44933924
42,1,296081.915925218,5043154.07479633
43,0,296085.996964602,5041884.83000537
44,0,296094.327970425,5041897.23636777
45,0,296094.50975081,5041564.65190149
46,0,296096.424034115,5042722.34780216
47,0,296100.223875609,5042929.14812965
48,1,296101.499494824,5042097.00456029
49,0,296102.698744609,5042241.9778792
50,0,296107.034700807,5042934.50109958
51,0,296124.574123341,5041971.84714868
52,0,296124.653667706,5043220.90931175
53,0,296124.739848003,5041868.35146778
54,0,296126.113180765,5042917.63811668
55,0,296136.178901745,5041964.20010749
56,0,296141.86842426,5042794.56851345
57,0,296146.562957104,5042315.49732064
58,0,296153.133564766,5041593.50491072
59,0,296165.51395043,5042833.69771813
60,0,296169.059469943,5043288.24999532
61,0,296169.264995119,5042200.28887517
62,0,296179.815791264,5042045.57387638
63,0,296191.383392929,5042876.51031384
64,0,296194.471417707,5042386.99941999
65,0,296214.176076978,5043356.24341485
66,0,296237.908315385,5042456.49699991
67,0,296241.315279893,5042953.46801551
68,0,296245.721195452,5042151.47514964
69,1,296255.110907087,5043416.08166115
70,0,296256.872469429,5041994.99642514
71,0,296261.933300109,5041634.99690706
72,0,296272.503885615,5041250.00360634
73,0,296273.034527432,5042516.00060299
74,1,296284.787787035,5041644.66189408
75,1,296293.092172684,5042224.8938773
76,0,296298.769146629,5043016.18892515
77,0,296318.110147478,5042582.47085694
78,0,296318.692421007,5042102.50286183
79,0,296320.305487081,5041658.16495748
80,0,296325.510842979,5043371.07446839
81,0,296326.0348774,5041951.00406133
82,0,296336.246614091,5043278.05489363
83,0,296337.825249697,5042297.35210061
84,0,296363.182820981,5042655.8252273
85,0,296365.613177922,5043064.95812965
86,0,296369.810595562,5041292.50351262
87,1,296374.706872705,5043445.07707034
88,0,296383.365435749,5042368.34613889
89,1,296386.777486419,5041805.4969253
90,0,296388.878842916,5042057.99667834
91,0,296412.414665618,5043504.14811065
92,0,296419.188503497,5042425.06964566
93,0,296424.110694171,5043234.07234005
94,0,296433.256658282,5043183.03655226
95,0,296436.031373582,5041872.4971312
96,0,296437.06763392,5041489.00067354
97,0,296442.633461115,5043100.75194637
98,0,296449.204841721,5043560.07549012
99,0,296449.20918784,5043480.57629811
100,1,296457.976084415,5043286.32437134
101,0,296459.135135157,5043158.12767657
102,0,296462.175854591,5042490.81442546
103,0,296468.530277773,5041347.495184
104,0,296476.034948468,5043140.98540151
105,0,296485.328763291,5043615.25212206
106,0,296485.636208073,5043537.88800907
107,0,296488.182805348,5043129.10033696
108,0,296489.14143349,5041712.20401811
109,0,296497.579089639,5043120.08630975
110,0,296504.16068229,5041984.50300072
111,0,296505.73699643,5043112.26028071
112,1,296506.400767923,5042562.56917873
113,0,296513.679568082,5043104.6408266
114,1,296516.107939403,5043664.08182436
115,0,296520.576017753,5043590.93946866
116,0,296521.842368244,5041810.50066423
117,0,296523.771382713,5043094.95956443
118,0,296527.284846541,5041435.49986682
119,0,296537.95433046,5043081.35360351
120,0,296540.151342621,5041562.00172102
121,0,296541.926177308,5043232.03742171
122,0,296542.506839748,5043707.57907415
123,1,296551.250789257,5042057.4985317
124,1,296557.531270711,5042643.53357061
125,0,296570.853005404,5043218.20396549
126,0,296577.26214453,5041735.58460478
127,1,296595.499694286,5042128.5036906
128,2,296598.601001879,5043790.08065678
129,0,296603.635668375,5043103.55342208
130,0,296603.639466632,5043111.38844032
131,0,296604.621801925,5041613.00383693
132,0,296605.093883123,5042722.86477074
133,0,296614.438710238,5041913.00300501
134,0,296617.90475505,5043284.57419287
135,0,296633.045390502,5043164.88841851
136,0,296633.449331778,5041501.26649224
137,0,296640.064582795,5042198.50261633
138,0,296641.710513233,5042979.2475971
139,0,296646.668968548,5042786.88434598
140,0,296647.546738117,5041507.01090288
141,0,296648.964662719,5041891.99985435
142,0,296649.754365996,5043165.3583462
143,0,296652.600431177,5043875.07858396
144,0,296654.715236164,5041473.48643619
145,1,296657.591951753,5043345.2260746
146,0,296675.684280108,5042257.49814018
147,0,296675.834212004,5043055.73621138
148,0,296689.119821955,5043047.21494313
149,0,296689.796354067,5042851.75503087
150,1,296693.410438645,5043400.07848956
151,0,296693.437834357,5041323.49584645
152,0,296695.750814158,5041961.99964341
153,0,296695.991494695,5043128.21742837
154,0,296701.898861546,5043950.57689042
155,0,296702.022971555,5043113.35866449
156,0,296706.063279988,5043103.40521687
157,0,296714.950295487,5043115.55022014
158,1,296720.255588907,5042327.79757271
159,0,296726.071111692,5043108.11991397
160,0,296728.13632906,5043458.05318029
161,0,296731.017072215,5043104.81530032
162,1,296733.403394257,5042920.59998744
163,0,296743.655692551,5042036.00275465
164,0,296750.102922026,5044028.57702525
165,0,296761.286282695,5043504.91933949
166,0,296763.038163662,5043086.74987777
167,0,296763.623042151,5041641.49989704
168,0,296766.112262548,5042400.41688114
169,0,296768.985384365,5041548.25696218
170,0,296770.117517989,5041518.75049479
171,0,296776.699904434,5044070.58240229
172,0,296777.689521191,5042988.5953078
173,0,296784.873181599,5042107.00002036
174,0,296787.027485122,5043549.89751754
175,0,296788.459667828,5041358.59712213
176,0,296791.329111132,5041384.16308874
177,0,296791.483344879,5043131.20465116
178,0,296793.401292178,5044096.07760058
179,0,296802.47512873,5043136.78201505
180,0,296805.874940911,5041530.50326545
181,0,296806.608349031,5043058.08294137
182,1,296814.800563387,5044131.58262935
183,0,296815.1127498,5042481.57437529
184,0,296815.553854058,5041368.54493093
185,0,296819.112809686,5043049.57615859
186,0,296822.750449327,5042168.4996381
187,0,296826.651095309,5041771.50448946
188,0,296842.352328815,5043633.69474938
189,0,296842.44406354,5043112.99603844
190,0,296844.711326572,5043032.57940599
191,0,296845.179719176,5043175.81926632
192,0,296861.906999996,5043211.08153538
193,0,296862.019347135,5043178.2563273
194,0,296864.615452192,5042558.07186037
195,1,296867.457242384,5043130.20381449
196,1,296870.038484166,5044215.75644024
197,0,296881.343125007,5043211.6422236
198,0,296895.507354359,5043215.81725813
199,1,296896.404018172,5043719.0851157
200,0,296896.000641695,5043111.82006411
201,0,296898.967304131,5041778.49639165
202,1,296903.313043919,5042619.57892917
203,0,296904.556218792,5041407.29469368
204,0,296905.22031829,5041639.49601158
205,0,296913.98355999,5043260.25944399
206,0,296916.356866914,5043258.48814275
207,0,296923.409569851,5043253.22440657
208,0,296924.507046119,5044302.10666072
209,0,296927.997731499,5043249.80006378
210,1,296931.21394059,5041779.00268613
211,0,296932.627661831,5041756.50324514
212,0,296944.697182209,5043793.58693915
213,0,296944.808740642,5041645.99972524
214,0,296945.29402025,5041617.51445409
215,0,296945.316676832,5042684.07814843
216,0,296951.032377271,5041922.50118659
217,0,296968.319565749,5043151.32217717
218,0,296981.750222069,5043361.56293466
219,0,296983.502330742,5041645.99878971
220,0,296985.47502226,5041365.28790532
