Muni,RevMoyH,RevMoyF,RevMoyM,RevMedH,RevMedF,RevMedM,NMenages
Baie-D'Urfé,105107,51794,171390,57600,34987,118784,1330
Beaconsfield,118834,53406,187173,62112,37359,123392,6660
Côte-Saint-Luc,61769,43107,94570,33280,30034,58935,13490
Dollard-Des Ormeaux,53843,38773,102104,36192,28903,78981,17210
Dorval,57129,41304,89952,40069,32888,64689,8390
Hampstead,168810,64359,250497,55637,40946,122496,2470
Kirkland,75855,46376,144676,49024,33896,115381,6685
Montréal,44701,35699,69047,30656,26377,50227,779805
Montréal-Est,36345,31007,58594,34091,25163,50318,1730
Montréal-Ouest,86904,64862,159374,50509,41536,115029,1850
Mont-Royal,137212,68317,205309,59018,41082,109540,7370
Pointe-Claire,60401,43658,100294,44393,34166,80242,12380
Sainte-Anne-de-Bellevue,68423,41825,102969,38944,30101,67200,1960
Senneville,146969,45306,203790,62464,39424,116224,345
Westmount,260110,80639,295099,64583,43123,100153,8685

















